Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
29/07/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-6.60,31342.40,EATING_OUT,
29/07/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-174.60,31167.80,GROCERIES,
29/07/2024,Channel 4,CHANNEL 4,CARD SUBSCRIPTION,-3.99,31163.81,BILLS_AND_SERVICES,
29/07/2024,Etsy,Etsy.com*LittlePickleD,ONLINE PAYMENT,-3.60,31160.21,SHOPPING,
29/07/2024,Etsy,Etsy.com*Thatsnicethat,ONLINE PAYMENT,-15.92,31144.29,SHOPPING,
29/07/2024,Decathlon Uk,Decathlon UK Limited,ONLINE PAYMENT,-113.46,31030.83,LIFESTYLE,
30/07/2024,GoCardless,VBDANCE-M8ZB6MFG35,DIRECT DEBIT,-59.40,30971.43,PAYMENTS,
30/07/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-105.60,30865.83,BILLS_AND_SERVICES,
30/07/2024,Octopusenergy,OCTOPUSENERGY,ONLINE PAYMENT,-28.00,30837.83,SHOPPING,
30/07/2024,Amazon,amazon.co.uk*M906P0V35,ONLINE PAYMENT,-3.99,30833.84,SHOPPING,
31/07/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-8.99,30824.85,ENTERTAINMENT,
31/07/2024,Amazon,AMAZON* 204-8323131-24,ONLINE PAYMENT,-35.89,30788.96,SHOPPING,
31/07/2024,Amazon,WWW.AMAZON* 204-513547,ONLINE PAYMENT,-5.50,30783.46,SHOPPING,
31/07/2024,Amazon,WWW.AMAZON* 204-663236,ONLINE PAYMENT,-7.99,30775.47,SHOPPING,
31/07/2024,Alsford Timber,ALSFORD TIMBER LTD,APPLE PAY,-46.78,30728.69,BILLS_AND_SERVICES,
31/07/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-11.30,30717.39,TRANSPORT,
31/07/2024,Amazon,amazon.co.uk*S60FQ4RB5,ONLINE PAYMENT,-4.99,30712.40,SHOPPING,
31/07/2024,Amazon,amazon.co.uk*3X6JY6JY5,ONLINE PAYMENT,-6.99,30705.41,SHOPPING,
31/07/2024,Amazon,amazon.co.uk*9H8DD4SR5,ONLINE PAYMENT,-5.99,30699.42,SHOPPING,
31/07/2024,Martin Butler,July,FASTER PAYMENT,-252.00,30447.42,PETS,
31/07/2024,McDonald's,MCDONALDS,APPLE PAY,-15.95,30431.47,EATING_OUT,
01/08/2024,Starling Bank,July Interest Earned,DEPOSIT INTEREST,13.55,30445.02,INCOME,
01/08/2024,Phc,19335 COURATIER,DIRECT DEBIT,-8.99,30436.03,GENERAL,
01/08/2024,Napo,MW43CMW,DIRECT DEBIT,-60.49,30375.54,GENERAL,
01/08/2024,Horsham District Council,12873556,DIRECT DEBIT,-268.00,30107.54,TRANSPORT,
01/08/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-14.99,30092.55,ENTERTAINMENT,
01/08/2024,PQA Academy,HAYW353036,DIRECT DEBIT,-46.00,30046.55,GENERAL,
01/08/2024,Bps Re Peoplesfundraising,1698316166225,DIRECT DEBIT,-10.00,30036.55,GENERAL,
01/08/2024,Pristine Gardenz Ltd,3997,FASTER PAYMENT,-311.52,29725.03,PAYMENTS,
01/08/2024,Napo,MW43CMW,DIRECT DEBIT,-33.75,29691.28,GENERAL,
01/08/2024,Napo,MW43CMW,DIRECT DEBIT,-59.68,29631.60,GENERAL,
01/08/2024,Jennifer Anne Lees,JENNIFER ANNE LEES,FASTER PAYMENT,20000.00,49631.60,INCOME,
01/08/2024,Co-op Food,CO-OP GROUP FOOD,APPLE PAY,-7.70,49623.90,GROCERIES,
01/08/2024,Co-op Food,CO-OP GROUP FOOD,APPLE PAY,-14.10,49609.80,GROCERIES,
01/08/2024,Amazon,AMAZON* 204-4969613-19,ONLINE PAYMENT,-85.26,49524.54,SHOPPING,
01/08/2024,Kiwico Inc.,"KiwiCo, Inc.",ONLINE PAYMENT,-27.99,49496.55,BILLS_AND_SERVICES,
02/08/2024,Amazon,AMAZON* 204-0230087-04,ONLINE PAYMENT,-19.38,49477.17,SHOPPING,
02/08/2024,Amazon,AMAZON* 204-1874577-53,ONLINE PAYMENT,-49.99,49427.18,SHOPPING,
02/08/2024,Amazon,AMAZON* 204-5557966-53,ONLINE PAYMENT,-54.48,49372.70,SHOPPING,
02/08/2024,Amazon,WWW.AMAZON* 204-269642,ONLINE PAYMENT,-13.13,49359.57,SHOPPING,
02/08/2024,Hawthornvets,WWW.HAWTHORNVETS.CO.UK,ONLINE PAYMENT,-60.00,49299.57,BILLS_AND_SERVICES,
02/08/2024,Able damp and preservation specialist,Couratier,FASTER PAYMENT,-465.00,48834.57,PAYMENTS,
02/08/2024,Sainsbury's,SAINSBURYS S/MKTS,GOOGLE PAY,-130.82,48703.75,GROCERIES,
02/08/2024,Starbucks,STARBUCKS,GOOGLE PAY,-6.25,48697.50,EATING_OUT,
02/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-52.80,48644.70,BILLS_AND_SERVICES,
02/08/2024,The Black Duck,The Black Duck,GOOGLE PAY,-7.30,48637.40,EATING_OUT,
03/08/2024,Amazon,amazon.co.uk,CARD SUBSCRIPTION,-9.49,48627.91,SHOPPING,
03/08/2024,Amazon Marketplace,AMZNMktplace*0H76C3HY5,ONLINE PAYMENT,-17.98,48609.93,SHOPPING,
03/08/2024,Cloud9brighton,Cloud9Brighton,GOOGLE PAY,-3.30,48606.63,EATING_OUT,
04/08/2024,Southern Railway,ON TRACK - SOUTHERN RA,ONLINE PAYMENT,-5.90,48600.73,TRANSPORT,
04/08/2024,Cult Pens,CULT PENS,ONLINE PAYMENT,-304.00,48296.73,SHOPPING,
04/08/2024,Amazon,AMAZON* CK6HM4SQ5,ONLINE PAYMENT,-8.99,48287.74,SHOPPING,
04/08/2024,Belgian Chips Queens R,Belgian Chips Queens R,APPLE PAY,-2.50,48285.24,EATING_OUT,
04/08/2024,Belgian Chips Queens R,Belgian Chips Queens R,APPLE PAY,-8.00,48277.24,EATING_OUT,
04/08/2024,Salvage Gifts,Salvage Gifts,GOOGLE PAY,-4.00,48273.24,SHOPPING,
04/08/2024,Amazon,amazon.co.uk*SY29G4PZ5,ONLINE PAYMENT,-7.99,48265.25,SHOPPING,
04/08/2024,Amazon,amazon.co.uk*VX0IY2175,ONLINE PAYMENT,-9.99,48255.26,SHOPPING,
04/08/2024,DP Cappuccino Espresso,FCB COFFEE            ,APPLE PAY,-11.65,48243.61,EATING_OUT,
04/08/2024,DP Cappuccino Espresso,FCB COFFEE            ,GOOGLE PAY,-4.20,48239.41,EATING_OUT,
04/08/2024,Junior Edition,JUNIOR EDITION        ,GOOGLE PAY,-40.99,48198.42,SHOPPING,
04/08/2024,Sumup *robin Gray,SumUp  *Robin Gray - P,APPLE PAY,-2.00,48196.42,SHOPPING,
04/08/2024,Amazon Marketplace,AMZNMktplace*D17IH7015,ONLINE PAYMENT,-44.46,48151.96,SHOPPING,
04/08/2024,One Shop,Zettle_*One shop,GOOGLE PAY,-1.30,48150.66,GROCERIES,
04/08/2024,Jaffe UK Services Ltd,VT-UK-24-2854,FASTER PAYMENT,-1557.50,46593.16,EXPENSES,
05/08/2024,GoCardless,BRUCESDOGDAY-H85HM,DIRECT DEBIT,-723.60,45869.56,PAYMENTS,
05/08/2024,Amazon Marketplace,AMZNMktplace*XO4268XA5,ONLINE PAYMENT,-27.98,45841.58,SHOPPING,
05/08/2024,Decathlon Uk,Decathlon UK Limited,ONLINE PAYMENT,-127.90,45713.68,LIFESTYLE,
05/08/2024,The Triangle,THE TRIANGLE,APPLE PAY,-8.55,45705.13,EATING_OUT,
05/08/2024,The Triangle,THE TRIANGLE,APPLE PAY,-18.39,45686.74,EATING_OUT,
05/08/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-5.00,45681.74,TRANSPORT,
05/08/2024,Kids Stuff Market,KIDS STUFF LTD MARKET,APPLE PAY,-78.15,45603.59,SHOPPING,
05/08/2024,Amazon Eu,Amazon.co.uk*BV68F9FE5,ONLINE PAYMENT,-18.00,45585.59,SHOPPING,
05/08/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-154.33,45431.26,GROCERIES,
05/08/2024,Twinpay,TWINPAY               ,APPLE PAY,-1.10,45430.16,TRANSPORT,
05/08/2024,Waitrose,WAITROSE 123,APPLE PAY,-5.60,45424.56,GROCERIES,
05/08/2024,Amazon,AMAZON* D05CE01S5,ONLINE PAYMENT,-22.99,45401.57,SHOPPING,
05/08/2024,Amazon Eu,Amazon.co.uk*2Z7O349D5,ONLINE PAYMENT,-33.00,45368.57,SHOPPING,
06/08/2024,Awp P&c,1UK000000000285835,DIRECT DEBIT,-4.34,45364.23,GENERAL,
06/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-105.60,45258.63,BILLS_AND_SERVICES,
06/08/2024,Amazon Marketplace,AMZNMktplace*6X11G67U5,ONLINE PAYMENT,-14.99,45243.64,SHOPPING,
06/08/2024,Tesco Petrol,TESCO PFS 3983,APPLE PAY,-100.70,45142.94,FUEL,
06/08/2024,B&Q,B & Q 1212,APPLE PAY,-18.00,45124.94,SHOPPING,
06/08/2024,The Mac S Farm,THE MAC S FARM,APPLE PAY,-3.20,45121.74,GROCERIES,
06/08/2024,The Mac S Farm,THE MAC S FARM,APPLE PAY,-15.50,45106.24,GROCERIES,
06/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-6.90,45099.34,GROCERIES,
06/08/2024,The Mac S Farm,THE MAC S FARM,APPLE PAY,-4.50,45094.84,GROCERIES,
06/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-5.50,45089.34,GROCERIES,
06/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-9.00,45080.34,GROCERIES,
06/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,APPLE PAY,-3.00,45077.34,GROCERIES,
06/08/2024,Jennifer Anne Lees,Olympics refund,FASTER PAYMENT,306.52,45383.86,INCOME,
06/08/2024,Katkin Club,KATKIN CLUB,CARD SUBSCRIPTION,-21.99,45361.87,GENERAL,
06/08/2024,Amazon Marketplace,AMZNMktplace*GF4V44YJ5,ONLINE PAYMENT,-22.99,45338.88,SHOPPING,
07/08/2024,Amazon,AMAZON* YS7HZ9TS5,ONLINE PAYMENT,-228.04,45110.84,SHOPPING,
07/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-7.70,45103.14,GROCERIES,
07/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-6.75,45096.39,GROCERIES,
07/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-3.50,45092.89,GROCERIES,
07/08/2024,Southern Railway,ON TRACK - SOUTHERN RA,CARD SUBSCRIPTION,-4.60,45088.29,TRANSPORT,
07/08/2024,Burger King,BURGER KING HICKSTEAD,APPLE PAY,-11.65,45076.64,EATING_OUT,
08/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-6.90,45069.74,GROCERIES,
08/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-5.00,45064.74,GROCERIES,
08/08/2024,The Mac S Farm,THE MAC S FARM,APPLE PAY,-4.50,45060.24,GROCERIES,
08/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-27.50,45032.74,GROCERIES,
08/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-4.50,45028.24,GROCERIES,
08/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-6.75,45021.49,GROCERIES,
08/08/2024,Smol,SMOL LIMITED,CARD SUBSCRIPTION,-6.30,45015.19,SHOPPING,
09/08/2024,Amazon Eu,Amazon.co.uk*O65CN68B5,ONLINE PAYMENT,-18.59,44996.60,SHOPPING,
09/08/2024,Hmshost Eurotunnel,HMSHost Eurotunnel,APPLE PAY,-13.61,44982.99,EATING_OUT,
09/08/2024,Shell,SHELL 2746,APPLE PAY,-113.98,44869.01,FUEL,
09/08/2024,Amazon Marketplace,AMZNMktplace*PM62I1K75,ONLINE PAYMENT,-9.99,44859.02,SHOPPING,
09/08/2024,WH Smith,WH Smith Eurotunnel,APPLE PAY,-33.04,44825.98,SHOPPING,
09/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-9.00,44816.98,GROCERIES,
09/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-3.70,44813.28,GROCERIES,
09/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,APPLE PAY,-11.00,44802.28,GROCERIES,
09/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-6.20,44796.08,GROCERIES,
09/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-2.00,44794.08,GROCERIES,
09/08/2024,Total Mkt Fr,TOTAL MKT FR,APPLE PAY,-33.43,44760.65,TRANSPORT,
09/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-52.80,44707.85,BILLS_AND_SERVICES,
09/08/2024,Springboard,SQ *SPRINGBOARD,GOOGLE PAY,-1.00,44706.85,GENERAL,
09/08/2024,Springboard,SQ *SPRINGBOARD,GOOGLE PAY,-1.00,44705.85,GENERAL,
09/08/2024,Springboard,SQ *SPRINGBOARD,GOOGLE PAY,-1.00,44704.85,GENERAL,
09/08/2024,Springboard,SQ *SPRINGBOARD,GOOGLE PAY,-1.00,44703.85,GENERAL,
10/08/2024,Cowfold Medical Group,COWFOLD MEDICAL GROUP,GOOGLE PAY,-9.90,44693.95,BILLS_AND_SERVICES,
10/08/2024,Leonardslee Gardens,Leonardslee Gardens,GOOGLE PAY,-8.20,44685.75,HOLIDAYS,
10/08/2024,Leonardslee Gardens,Leonardslee Gardens,GOOGLE PAY,-4.80,44680.95,HOLIDAYS,
10/08/2024,Leonardslee Lake & Gar,Leonardslee Lake and G,GOOGLE PAY,-2.20,44678.75,EATING_OUT,
10/08/2024,Leonardslee Lake & Gar,Leonardslee Lake and G,GOOGLE PAY,-24.00,44654.75,EATING_OUT,
10/08/2024,Amazon,amazon.co.uk*P35LP4LT5,ONLINE PAYMENT,-7.99,44646.76,SHOPPING,
10/08/2024,Curve,CRV*GOOGLER SESSION AU,ONLINE PAYMENT,-20.00,44626.76,BILLS_AND_SERVICES,
10/08/2024,Sumup *c And L Cateri,SumUp  *C and L Cateri,GOOGLE PAY,-3.25,44623.51,GROCERIES,
10/08/2024,Super U Maze,SUPER U MAZE,APPLE PAY,-24.85,44598.66,HOLIDAYS,
11/08/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-12.99,44585.67,ENTERTAINMENT,
11/08/2024,Maison Boisson,MAISON BOISSON,APPLE PAY,-47.88,44537.79,GROCERIES,
11/08/2024,Amazon Marketplace,AMZNMktplace*E01PS2RB5,ONLINE PAYMENT,-31.99,44505.80,SHOPPING,
11/08/2024,Amazon Marketplace,AMZNMktplace*UM63N0R45,ONLINE PAYMENT,-14.90,44490.90,SHOPPING,
11/08/2024,giffgaff,giffgaff,ONLINE PAYMENT,-25.00,44465.90,BILLS_AND_SERVICES,
11/08/2024,Amazon Marketplace,AMZNMktplace*UT69K9C55,ONLINE PAYMENT,-28.99,44436.91,SHOPPING,
12/08/2024,HMRC Self Assessment,2446830364K00005,DIRECT CREDIT,52.38,44489.29,PAYMENTS,
12/08/2024,Places For People Leisure ,54561456A,DIRECT DEBIT,-49.00,44440.29,GENERAL,
12/08/2024,Maison Boisson,MAISON BOISSON,APPLE PAY,-5.96,44434.33,GROCERIES,
12/08/2024,Teemill Tech,TEEMILL TECH LTD,ONLINE PAYMENT,-58.00,44376.33,SHOPPING,
12/08/2024,Haloclineswimwear,HALOCLINESWIMWEAR,ONLINE PAYMENT,-78.00,44298.33,SHOPPING,
12/08/2024,Amazon Eu,Amazon.co.uk*X612309N5,ONLINE PAYMENT,-45.43,44252.90,SHOPPING,
12/08/2024,Amazon Marketplace,AMZNMktplace*AZ0668UZ5,ONLINE PAYMENT,-26.99,44225.91,SHOPPING,
12/08/2024,Amazon,amazon.co.uk*Y46L69HU5,ONLINE PAYMENT,-4.99,44220.92,SHOPPING,
12/08/2024,Decathlon Angers,DECATHLON ANGERS      ,APPLE PAY,-53.20,44167.72,LIFESTYLE,
12/08/2024,Masse Distribution,MASSE DISTRIBUTION,APPLE PAY,-11.68,44156.04,BILLS_AND_SERVICES,
12/08/2024,Masse Distribution,MASSE DISTRIBUTION,APPLE PAY,-5.13,44150.91,BILLS_AND_SERVICES,
12/08/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-7.60,44143.31,EATING_OUT,
12/08/2024,The Triangle,THE TRIANGLE,GOOGLE PAY,-6.74,44136.57,EATING_OUT,
12/08/2024,Sp Mutha.Hood,MUTHA.HOOD,ONLINE PAYMENT,-56.49,44080.08,SHOPPING,
12/08/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-184.75,43895.33,GROCERIES,
12/08/2024,The Macs Farm Hassocks,THE MACS FARM LIMITED,GOOGLE PAY,-6.00,43889.33,GROCERIES,
12/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-3.45,43885.88,GROCERIES,
12/08/2024,The Mac S Farm,THE MAC S FARM,GOOGLE PAY,-6.40,43879.48,GROCERIES,
12/08/2024,Patchplants,WWW.PATCHPLANTS.COM,ONLINE PAYMENT,-75.00,43804.48,BILLS_AND_SERVICES,
13/08/2024,Places For People Leisure ,54425808A,DIRECT DEBIT,-60.00,43744.48,GENERAL,
13/08/2024,Le Marche Duty Free,Le Marche Duty Free,APPLE PAY,-7.64,43736.84,SHOPPING,
13/08/2024,Hmshost Eurotunnel Fra,HMSHost Eurotunnel Fra,APPLE PAY,-2.66,43734.18,EATING_OUT,
13/08/2024,Hmshost Eurotunnel Fra,HMSHost Eurotunnel Fra,APPLE PAY,-12.79,43721.39,EATING_OUT,
13/08/2024,Dancewear Central,Dancewear Central,ONLINE PAYMENT,-38.80,43682.59,SHOPPING,
13/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-105.60,43576.99,BILLS_AND_SERVICES,
13/08/2024,Total Attractions,TOTAL ATTRACTIONS,ONLINE PAYMENT,-34.50,43542.49,LIFESTYLE,
13/08/2024,Amazon Marketplace,AMZNMktplace*AC8IZ99D5,ONLINE PAYMENT,-29.95,43512.54,SHOPPING,
13/08/2024,Amazon Marketplace,AMZNMktplace*8A3VQ19G5,ONLINE PAYMENT,-27.14,43485.40,SHOPPING,
13/08/2024,giffgaff,giffgaff,CARD SUBSCRIPTION,-10.00,43475.40,BILLS_AND_SERVICES,
13/08/2024,Tesco,TESCO STORES 2163,GOOGLE PAY,-28.94,43446.46,GROCERIES,
13/08/2024,Amazon Eu,Amazon.co.uk*FF2AZ9WO5,ONLINE PAYMENT,-16.34,43430.12,SHOPPING,
13/08/2024,Www Dancing In The Str,WWW DANCING IN THE STR,ONLINE PAYMENT,-31.22,43398.90,SHOPPING,
13/08/2024,Total Mkt Fr,TOTAL MKT FR,APPLE PAY,-4.19,43394.71,TRANSPORT,
13/08/2024,Total Mkt Fr,TOTAL MKT FR,APPLE PAY,-4.27,43390.44,TRANSPORT,
13/08/2024,Total Mkt Fr,TOTAL MKT FR,APPLE PAY,-4.63,43385.81,TRANSPORT,
13/08/2024,Total Mkt Fr,TOTAL MKT FR,CHIP & PIN,-45.58,43340.23,TRANSPORT,
13/08/2024,Total Mkt Fr,TOTAL MKT FR,CHIP & PIN,-69.39,43270.84,TRANSPORT,
13/08/2024,Amazon Eu,Amazon.co.uk*WV3KT3ZZ5,ONLINE PAYMENT,-10.99,43259.85,SHOPPING,
13/08/2024,Amazon Marketplace,AMZNMktplace*MA3IE59N5,ONLINE PAYMENT,-16.79,43243.06,SHOPPING,
14/08/2024,Amazon Marketplace,AMZNMktplace*5U6NZ93Q5,ONLINE PAYMENT,-109.99,43133.07,SHOPPING,
14/08/2024,Amazon,amazon.co.uk*0559R7775,ONLINE PAYMENT,-5.49,43127.58,SHOPPING,
14/08/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-5.00,43122.58,TRANSPORT,
14/08/2024,Amazon Eu,Amazon.co.uk*DE8BB8I45,ONLINE PAYMENT,-32.53,43090.05,SHOPPING,
14/08/2024,Amazon Marketplace,AMZNMktplace*BJ7794M95,ONLINE PAYMENT,-89.61,43000.44,SHOPPING,
14/08/2024,Vodafone,VODAFONE LTD,ONLINE PAYMENT,-60.00,42940.44,BILLS_AND_SERVICES,
14/08/2024,Waitrose,WAITROSE,GOOGLE PAY,-12.95,42927.49,GROCERIES,
14/08/2024,Etsy,Etsy.com*CWtChUSstore,ONLINE PAYMENT,-16.00,42911.49,SHOPPING,
15/08/2024,Bps Re Easy Direct Debits,MND005WZKJFMKN,DIRECT DEBIT,-23.00,42888.49,GENERAL,
15/08/2024,The Rec Rink,The Rec Rink,GOOGLE PAY,-10.00,42878.49,LIFESTYLE,
15/08/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-5.00,42873.49,TRANSPORT,
15/08/2024,Cineworld,Cineworld CRA AT,APPLE PAY,-16.99,42856.50,ENTERTAINMENT,
15/08/2024,Cineworld,Cineworld CRA CP,APPLE PAY,-12.20,42844.30,ENTERTAINMENT,
15/08/2024,Five Guys,FIVE GUYS CRAWLEY,APPLE PAY,-20.35,42823.95,EATING_OUT,
15/08/2024,Smol,SMOL LIMITED,CARD SUBSCRIPTION,-5.80,42818.15,SHOPPING,
16/08/2024,Decorum Vending Payter,DECORUM VENDING PAYTER,GOOGLE PAY,-1.40,42816.75,GROCERIES,
16/08/2024,Co-op Food,CO-OP GROUP FOOD,APPLE PAY,-16.45,42800.30,GROCERIES,
16/08/2024,Waitrose,WAITROSE,GOOGLE PAY,-8.75,42791.55,GROCERIES,
16/08/2024,Marks & Spencer,M&S SIMPLY FOOD - SSP,GOOGLE PAY,-2.60,42788.95,GROCERIES,
16/08/2024,Simplycook,SimplyCook,CARD SUBSCRIPTION,-11.78,42777.17,GROCERIES,
17/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-52.80,42724.37,BILLS_AND_SERVICES,
17/08/2024,Tesco,TESCO STORES 2163,APPLE PAY,-47.40,42676.97,GROCERIES,
17/08/2024,Amazon Marketplace,AMZNMktplace*SS1RY0175,ONLINE PAYMENT,-22.99,42653.98,SHOPPING,
17/08/2024,Starbucks Hickstead,STARBUCKS HICKSTEAD,GOOGLE PAY,-7.20,42646.78,GROCERIES,
17/08/2024,Total Attractions,SQ *TOTAL ATTRACTIONS,GOOGLE PAY,-7.50,42639.28,ENTERTAINMENT,
18/08/2024,Startriteshoes,WWW.STARTRITESHOES.COM,ONLINE PAYMENT,-41.65,42597.63,SHOPPING,
18/08/2024,Smith & Western,Smith and Western,GOOGLE PAY,-2.10,42595.53,EATING_OUT,
18/08/2024,Smith & Western,Smith and Western,APPLE PAY,-58.33,42537.20,EATING_OUT,
18/08/2024,Curve,CRV*TwinPay Sheffield,ONLINE PAYMENT,-1.60,42535.60,TRANSPORT,
18/08/2024,Boots,BOOTS 1465,GOOGLE PAY,-16.64,42518.96,GENERAL,
18/08/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-2.35,42516.61,GROCERIES,
18/08/2024,Kids Stuff Market,KIDS STUFF LTD MARKET,GOOGLE PAY,-39.17,42477.44,SHOPPING,
19/08/2024,Amazon,WWW.AMAZON.* 375BO6LL5,ONLINE PAYMENT,-19.50,42457.94,SHOPPING,
19/08/2024,Amazon Eu,Amazon.co.uk*QO3716M75,CARD SUBSCRIPTION,-11.84,42446.10,SHOPPING,
19/08/2024,Amazon Marketplace,AMZNMktplace*T030S91U5,ONLINE PAYMENT,-49.61,42396.49,SHOPPING,
19/08/2024,Amazon Marketplace,AMZNMktplace*113JH05Z5,ONLINE PAYMENT,-41.74,42354.75,SHOPPING,
19/08/2024,Places Leisure,PLACES LEISURE,ONLINE PAYMENT,-11.50,42343.25,LIFESTYLE,
19/08/2024,The Triangle,THE TRIANGLE,APPLE PAY,-21.59,42321.66,EATING_OUT,
19/08/2024,Ocado,OCADO                 ,ONLINE PAYMENT,-153.00,42168.66,GROCERIES,
19/08/2024,Curve,CRV*APPLE.COM BILL APP,ONLINE PAYMENT,-0.99,42167.67,SHOPPING,
20/08/2024,Barclays Partner Finance,300 0120 733039747,DIRECT DEBIT,-49.95,42117.72,BILLS_AND_SERVICES,
20/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-105.60,42012.12,BILLS_AND_SERVICES,
20/08/2024,Applecare,APPLECARE UK,CARD SUBSCRIPTION,-8.99,42003.13,SHOPPING,
20/08/2024,The Rec Rink,The Rec Rink,GOOGLE PAY,-10.00,41993.13,LIFESTYLE,
20/08/2024,Curve,CRV*TwinPay Sheffield,ONLINE PAYMENT,-1.60,41991.53,TRANSPORT,
20/08/2024,Specsavers00360000burg,SPECSAVERS00360000BURG,GOOGLE PAY,-30.00,41961.53,GENERAL,
20/08/2024,Waitrose,WAITROSE 123,GOOGLE PAY,-5.50,41956.03,GROCERIES,
20/08/2024,Tails,TAILS.COM,CARD SUBSCRIPTION,-242.14,41713.89,GROCERIES,
20/08/2024,Caffè Nero,CAFFE NERO BURGESS HIL,GOOGLE PAY,-3.65,41710.24,EATING_OUT,
20/08/2024,Schoolblazer,SCHOOLBLAZER LTD,ONLINE PAYMENT,-137.99,41572.25,SHOPPING,
20/08/2024,Amazon Marketplace,AMZNMktplace*IY2YB9K45,ONLINE PAYMENT,-4.99,41567.26,SHOPPING,
21/08/2024,Google,GOOGLE *YouTubePremium,ONLINE PAYMENT,-17.78,41549.48,SHOPPING,
21/08/2024,Curve,CRV*SKIN   ME,ONLINE PAYMENT,-29.99,41519.49,LIFESTYLE,
21/08/2024,Amazon,AMAZON* TI84F1CU4,ONLINE PAYMENT,-23.00,41496.49,SHOPPING,
21/08/2024,Amazon Marketplace,AMZNMktplace*4J3XG4BI5,ONLINE PAYMENT,-7.13,41489.36,SHOPPING,
21/08/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-5.00,41484.36,TRANSPORT,
21/08/2024,Amazon,AMAZON* PL9SD2LE5,ONLINE PAYMENT,-16.99,41467.37,SHOPPING,
21/08/2024,Amazon Marketplace,AMZNMktplace*TI89B14T4,CARD SUBSCRIPTION,-15.77,41451.60,SHOPPING,
21/08/2024,Amazon Marketplace,AMZNMktplace*U35PS2LJ5,CARD SUBSCRIPTION,-31.59,41420.01,SHOPPING,
21/08/2024,Co-op Food,CO-OP GROUP FOOD,GOOGLE PAY,-10.55,41409.46,GROCERIES,
22/08/2024,Bps Re Easy Direct Debits,MND005WZKJFMKN,DIRECT DEBIT,-20.00,41389.46,GENERAL,
22/08/2024,Curve,CRV*BLIZZARD ENTERTAIN,ONLINE PAYMENT,-13.49,41375.97,SHOPPING,
22/08/2024,Gtr Parking Connect Ec,GTR PARKING CONNECT EC,ONLINE PAYMENT,-5.00,41370.97,TRANSPORT,
23/08/2024,Curve,CRV*GTR PARKING CONNEC,ONLINE PAYMENT,-5.00,41365.97,TRANSPORT,
23/08/2024,Sustainaclean,SUSTAINACLEAN,ONLINE PAYMENT,-52.80,41313.17,BILLS_AND_SERVICES,
24/08/2024,Infinity Foods Co-Oper Brighton,Infinity Foods Co-oper,GOOGLE PAY,-3.92,41309.25,GROCERIES,
