Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
27/11/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.75,995.00,BILLS_AND_SERVICES,
27/11/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.75,968.25,BILLS_AND_SERVICES,
27/11/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.75,941.50,BILLS_AND_SERVICES,
01/12/2024,Starling Bank,November Interest Earned,DEPOSIT INTEREST,3.48,944.98,INCOME,
01/12/2024,Ninjatrader,NINJATRADER,ONLINE PAYMENT,-9.47,935.51,SHOPPING,
02/12/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-33.52,901.99,ENTERTAINMENT,
09/12/2024,Ubuy,Ubuy.com,ONLINE PAYMENT,-220.97,681.02,GENERAL,
12/12/2024,Lego Store Brighton,LEGO Store Brighton,APPLE PAY,-379.98,301.04,SHOPPING,
20/12/2024,Stephen Couratier & Jennifer Lees,Od,TRANSFER,800.00,1101.04,INCOME,
22/12/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,772.04,GENERAL,
27/12/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-6.99,765.05,ENTERTAINMENT,
